"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
Belgium,"72,016",+858,"9,861",+2,"17,700","44,455",65,"6,211",850,"1,791,554","154,514","11,594,739"
Panama,"71,418",,"1,574",,"45,658","24,186",161,"16,527",364,"240,995","55,769","4,321,282"
Kuwait,"70,727",+682,471,+2,"62,330","7,926",124,"16,538",110,"526,286","123,060","4,276,658"
Belarus,"68,614",+111,583,+3,"64,200","3,831",,"7,262",62,"1,353,657","143,259","9,449,001"
UAE,"62,061",+216,356,+2,"56,015","5,690",,"6,267",36,"5,375,365","542,852","9,902,079"
Romania,"59,273","+1,378","2,616",+50,"29,289","27,368",446,"3,083",136,"1,343,315","69,877","19,224,023"
Netherlands,"57,501",+519,"6,154",+1,N/A,N/A,38,"3,355",359,"1,079,860","63,007","17,138,756"
Guatemala,"55,270",+931,"2,168",+49,"43,135","9,967",5,"3,080",121,"176,400","9,829","17,946,899"
Singapore,"54,797",+242,27,,"48,312","6,458",,"9,359",5,"1,474,372","251,817","5,854,932"
Portugal,"52,351",+290,"1,746",+3,"38,087","12,518",36,"5,136",171,"1,705,474","167,308","10,193,593"
Poland,"50,324",+809,"1,787",+13,"36,041","12,496",73,"1,330",47,"2,436,012","64,373","37,842,302"
Honduras,"45,755",+657,"1,446",+23,"6,225","38,084",45,"4,613",146,"112,370","11,328","9,919,704"
Nigeria,"45,244",,930,,"32,430","11,884",7,219,5,"310,729","1,504","206,606,300"
Bahrain,"42,889",,158,+2,"39,945","2,786",39,"25,130",93,"876,700","513,691","1,706,669"
Japan,"42,263",,"1,026",,"28,877","12,360",115,334,8,"938,739","7,425","126,435,859"
Ghana,"40,097",+455,206,+7,"36,638","3,253",7,"1,288",7,"409,373","13,149","31,133,483"
Armenia,"39,985",+166,777,+5,"32,008","7,200",,"13,491",262,"172,994","58,369","2,963,811"
Kyrgyzstan,"39,162",+503,"1,451",+4,"30,764","6,947",24,"5,993",222,"267,718","40,970","6,534,479"
Afghanistan,"37,015",+119,"1,307",+9,"25,903","9,805",31,949,34,"92,585","2,373","39,009,447"
Switzerland,"36,269",+161,"1,986",+1,"31,600","2,683",21,"4,188",229,"829,158","95,735","8,660,952"
Algeria,"33,626",,"1,273",,"23,238","9,115",57,766,29,,,"43,926,079"
Azerbaijan,"33,376",+129,483,+4,"29,696","3,197",,"3,289",48,"773,051","76,176","10,148,243"
Morocco,"29,644",,449,,"20,553","8,642",31,802,12,"1,383,816","37,448","36,953,359"
Uzbekistan,"28,809",+494,179,+4,"19,587","9,043",228,860,5,"1,377,915","41,112","33,516,027"
Serbia,"27,608",+276,626,+5,"14,047","12,935",118,"3,161",72,"733,059","83,935","8,733,665"
Moldova,"26,990",+362,835,+7,"18,918","7,237",362,"6,692",207,"128,076","31,757","4,032,983"
Ireland,"26,372",,"1,768",,"23,364","1,240",5,"5,335",358,"652,917","132,084","4,943,200"
Kenya,"24,411",,399,,"10,444","13,568",44,453,7,"335,318","6,223","53,881,160"
Venezuela,"23,280",,202,,"12,470","10,608",66,819,7,"1,573,859","55,364","28,427,499"
Nepal,"22,214",+464,70,+5,"15,814","6,330",,761,2,"739,903","25,351","29,186,486"
,,,,,,,,,,,,
Austria,"21,837",+141,720,+1,"19,690","1,427",25,"2,423",80,"947,305","105,121","9,011,577"
Costa Rica,"21,070",,200,,"7,038","13,832",103,"4,132",39,"100,050","19,623","5,098,730"
Ethiopia,"20,900",,365,,"9,027","11,508",185,181,3,"468,814","4,069","115,223,736"
Australia,"20,272",+410,266,+11,"11,147","8,859",51,794,10,"4,713,854","184,648","25,528,864"
El Salvador,"19,544",+418,520,+7,"9,379","9,645",514,"3,012",80,"256,176","39,475","6,489,514"
Czechia,"17,896",+165,389,,"12,698","4,809",17,"1,671",36,"735,501","68,668","10,711,019"
Cameroon,"17,718",,391,,"15,320","2,007",30,666,15,"149,000","5,600","26,606,188"
Ivory Coast,"16,447",,103,,"12,484","3,860",,622,4,"104,584","3,956","26,437,950"
S. Korea,"14,519",+20,303,+1,"13,543",673,18,283,6,"1,613,652","31,471","51,273,732"
Denmark,"14,442",+136,617,,"12,840",985,2,"2,492",106,"1,680,226","289,980","5,794,279"
Palestine,"13,722",+324,94,+2,"7,210","6,418",,"2,684",18,"200,280","39,176","5,112,340"
Bosnia and Herzegovina,"13,687",+291,394,+10,"7,373","5,920",,"4,175",120,"148,090","45,168","3,278,650"
Bulgaria,"13,014",,435,,"7,374","5,205",47,"1,874",63,"294,087","42,358","6,942,854"
Madagascar,"12,708",+182,135,+1,"10,412","2,161",93,458,5,"47,022","1,694","27,755,708"
Sudan,"11,780",,763,,"6,194","4,823",,268,17,401,9,"43,943,536"
North Macedonia,"11,554",+155,519,+2,"7,607","3,428",3,"5,546",249,"111,791","53,659","2,083,365"
Senegal,"10,887",+172,225,+2,"7,186","3,476",39,649,13,"116,472","6,940","16,783,877"
Norway,"9,503",+35,256,,"8,857",390,2,"1,752",47,"479,789","88,433","5,425,471"
DRC,"9,355",+46,218,+3,"8,174",963,,104,2,,,"89,802,183"
Malaysia,"9,063",+25,125,,"8,728",210,2,280,4,"991,333","30,591","32,406,372"
French Guiana,"8,127",,47,,"7,240",840,23,"27,146",157,"41,412","138,324","299,385"
Gabon,"7,787",,51,,"5,609","2,127",11,"3,491",23,"85,369","38,272","2,230,563"
Tajikistan,"7,706",+41,62,,"6,484","1,160",,806,6,,,"9,557,468"
Guinea,"7,664",,49,,"6,757",858,24,582,4,"14,407","1,094","13,164,905"
Haiti,"7,582",+38,171,,"4,832","2,579",,664,15,"18,501","1,621","11,416,103"
Finland,"7,554",+22,331,,"6,980",243,,"1,363",60,"398,554","71,920","5,541,604"
Zambia,"7,486",+322,200,+1,"6,264","1,022",,406,11,"92,341","5,010","18,430,129"
Luxembourg,"7,073",,119,,"5,750","1,204",9,"11,282",190,"623,994","995,282","626,952"
Mauritania,"6,444",,157,,"5,291",996,3,"1,383",34,"57,387","12,313","4,660,728"
Paraguay,"6,375",,66,,"4,974","1,335",23,893,9,"135,277","18,943","7,141,091"
Albania,"6,151",+135,189,+1,"3,227","2,735",20,"2,138",66,"40,675","14,136","2,877,470"
Lebanon,"5,672",,70,,"1,974","3,628",46,831,10,"345,268","50,609","6,822,220"
Croatia,"5,466",+62,155,,"4,758",553,7,"1,332",38,"126,410","30,812","4,102,577"
Djibouti,"5,334",+4,59,,"5,066",209,,"5,391",60,"59,909","60,552","989,387"
Greece,"5,270",+147,210,,"1,374","3,686",14,506,20,"630,983","60,569","10,417,673"
Libya,"4,879",,107,,652,"4,120",,709,16,"59,699","8,677","6,880,353"
Equatorial Guinea,"4,821",,83,,"2,182","2,556",,"3,426",59,"44,356","31,525","1,407,001"
Maldives,"4,680",,19,,"2,725","1,936",12,"8,643",35,"85,587","158,071","541,448"
Hungary,"4,621",+24,602,+2,"3,464",555,8,478,62,"355,467","36,806","9,657,785"
CAR,"4,620",,59,,"1,641","2,920",2,955,12,"29,589","6,116","4,837,752"
Malawi,"4,491",,137,,"2,137","2,217",4,234,7,"33,466","1,745","19,174,839"
Zimbabwe,"4,395",+56,97,+13,"1,264","3,034",,295,7,"144,490","9,708","14,883,803"
Hong Kong,"3,939",+89,46,,"2,620","1,273",41,525,6,"692,430","92,287","7,503,041"
Nicaragua,"3,902",,123,,"2,913",866,,588,19,,,"6,632,263"
Montenegro,"3,549",+69,61,+1,"2,296","1,192",,"5,651",97,"38,891","61,921","628,074"
Congo,"3,546",,58,,"1,589","1,899",,641,10,,,"5,530,506"
Thailand,"3,345",+15,58,,"3,148",139,1,48,0.8,"749,213","10,731","69,817,894"
Somalia,"3,227",,93,,"1,728","1,406",2,203,6,,,"15,933,012"
Mayotte,"3,042",,39,,"2,738",265,2,"11,126",143,"13,000","47,546","273,419"
Eswatini,"2,968",,55,,"1,476","1,437",10,"2,556",47,"27,428","23,617","1,161,348"
Sri Lanka,"2,839",,11,,"2,564",264,1,133,0.5,"166,737","7,783","21,422,362"
Namibia,"2,802",+150,16,+1,575,"2,211",22,"1,101",6,"32,369","12,717","2,545,264"
Cuba,"2,775",,88,,"2,409",278,4,245,8,"285,471","25,205","11,325,899"
Cabo Verde,"2,734",,27,,"2,010",697,,"4,912",49,"61,633","110,735","556,581"
Mali,"2,552",,124,,"1,954",474,,126,6,"25,152","1,239","20,302,901"
Slovakia,"2,523",+43,31,+2,"1,846",646,7,462,6,"274,795","50,330","5,459,915"
South Sudan,"2,450",,47,,"1,175","1,228",,219,4,"12,044","1,075","11,206,572"
Slovenia,"2,233",+10,125,,"1,927",181,4,"1,074",60,"136,455","65,636","2,078,968"
Lithuania,"2,194",+23,81,,"1,658",455,6,807,30,"545,362","200,639","2,718,121"
Estonia,"2,133",+9,63,,"1,956",114,,"1,608",47,"123,839","93,349","1,326,627"
Mozambique,"2,120",,15,,795,"1,310",,68,0.5,"65,151","2,079","31,333,962"
Rwanda,"2,111",,5,,"1,258",848,,163,0.4,"286,251","22,051","12,981,546"
Suriname,"2,096",,29,,"1,446",621,9,"3,570",49,"2,927","4,985","587,154"
Guinea-Bissau,"2,032",,27,,944,"1,061",5,"1,030",14,"1,500",761,"1,972,277"
Iceland,"1,952",+22,10,,"1,833",109,,"5,717",29,"152,694","447,173","341,465"
Benin,"1,936",,38,,"1,600",298,1,159,3,"93,677","7,709","12,151,976"
Sierra Leone,"1,877",,67,,"1,427",383,,235,8,,,"7,992,169"
Yemen,"1,768",,508,,898,362,,59,17,120,4,"29,886,897"
Tunisia,"1,642",,51,,"1,241",350,9,139,4,"100,298","8,478","11,830,801"
New Zealand,"1,569",,22,,"1,524",23,,314,4,"486,943","97,348","5,002,100"
Angola,"1,483",,64,,520,899,20,45,2,"64,747","1,965","32,956,300"
Uruguay,"1,318",,37,,"1,079",202,2,379,11,"126,956","36,535","3,474,956"
Latvia,"1,281",+6,32,,"1,070",179,,680,17,"210,046","111,493","1,883,936"
Uganda,"1,254",+31,6,+1,"1,113",135,,27,0.1,"290,701","6,338","45,867,852"
Jordan,"1,237",+5,11,,"1,178",48,3,121,1,"634,721","62,148","10,213,138"
Liberia,"1,224",,78,,705,441,,241,15,,,"5,068,618"
Cyprus,"1,222",+14,19,,856,347,,"1,011",16,"220,136","182,196","1,208,238"
Georgia,"1,213",+7,17,,994,202,,304,4,"240,473","60,294","3,988,368"
Burkina Faso,"1,158",,54,,961,143,,55,3,,,"20,954,852"
Niger,"1,153",,69,,"1,057",27,,47,3,"9,052",373,"24,281,433"
Togo,"1,012",,22,,697,293,2,122,3,"45,767","5,516","8,296,582"
Syria,999,,48,,311,640,,57,3,,,"17,539,600"
Malta,995,+49,9,,675,311,,"2,253",20,"138,430","313,429","441,663"
Jamaica,958,+30,12,,745,201,,323,4,"41,840","14,123","2,962,478"
Andorra,955,+11,52,,839,64,1,"12,358",673,"3,750","48,526","77,278"
Chad,942,,76,,838,28,,57,5,,,"16,467,965"
Gambia,935,,16,,136,783,,386,7,"5,183","2,139","2,422,754"
Sao Tome and Principe,878,,15,,797,66,,"3,999",68,"3,079","14,025","219,544"
Botswana,804,,2,,63,739,1,341,0.8,"68,423","29,041","2,356,075"
Vietnam,784,+37,10,,395,379,,8,0.1,"482,456","4,952","97,425,470"
Bahamas,761,,14,,91,656,1,"1,933",36,"4,814","12,230","393,616"
Lesotho,742,,23,,175,544,,346,11,"8,771","4,091","2,143,943"
,,,,,,,,,,,,
Diamond Princess,712,,13,,651,48,4,,,,,
San Marino,699,,42,,657,0,,"20,596","1,238","6,068","178,797","33,938"
Réunion,671,,5,,592,74,3,749,6,"35,419","39,532","895,952"
Channel Islands,597,,47,,533,17,,"3,431",270,"52,055","299,129","174,022"
Guyana,538,,22,,189,327,2,684,28,"5,165","6,563","786,936"
Tanzania,509,,21,,183,305,7,8,0.4,,,"59,886,383"
Taiwan,477,,7,,443,27,,20,0.3,"82,737","3,473","23,821,199"
Burundi,400,,1,,304,95,,34,0.08,"15,614","1,310","11,922,216"
Comoros,396,,7,,340,49,,454,8,,,"871,326"
Myanmar,359,+2,6,,309,44,,7,0.1,"123,441","2,267","54,446,389"
Mauritius,344,,10,,334,0,,270,8,"205,285","161,389","1,271,985"
Isle of Man,336,,24,,312,0,,"3,949",282,"8,627","101,401","85,078"
Mongolia,293,,,,260,33,1,89,,"38,595","11,755","3,283,344"
Faeroe Islands,291,+25,,,192,99,1,"5,953",,"44,796","916,411","48,882"
Eritrea,282,,,,225,57,,79,,,,"3,551,175"
Guadeloupe,279,,14,,179,86,,697,35,"18,476","46,175","400,131"
Martinique,276,,15,,98,163,1,736,40,"12,227","32,585","375,235"
Aruba,263,,3,,114,146,,"2,462",28,"14,047","131,511","106,812"
Cambodia,243,,,,214,29,1,15,,"69,645","4,160","16,741,375"
Trinidad and Tobago,210,,8,,135,67,,150,6,"9,559","6,828","1,399,950"
Cayman Islands,203,,1,,202,0,,"3,085",15,"31,108","472,780","65,798"
Gibraltar,190,,,,184,6,,"5,640",,"23,063","684,565","33,690"
Papua New Guinea,188,+25,3,,53,132,,21,0.3,"10,808","1,206","8,963,009"
Sint Maarten,176,+16,16,,86,74,3,"4,100",373,"1,215","28,306","42,924"
Bermuda,157,,9,,144,4,,"2,522",145,"26,352","423,298","62,254"
Brunei,142,+1,3,,138,1,,324,7,"43,312","98,910","437,893"
Turks and Caicos,141,+12,2,,39,100,3,"3,637",52,"1,271","32,785","38,768"
Barbados,133,,7,,100,26,,463,24,"12,233","42,563","287,411"
Seychelles,126,,,,124,2,,"1,280",,,,"98,408"
Monaco,125,,4,,105,16,2,"3,183",102,"38,209","972,982","39,270"
Belize,114,+28,2,,32,80,2,286,5,"3,800","9,540","398,312"
Bhutan,108,+3,,,96,12,,140,,"55,128","71,368","772,443"
Antigua and Barbuda,92,,3,,76,13,1,939,31,"1,500","15,305","98,010"
Liechtenstein,89,,1,,85,3,,"2,334",26,900,"23,598","38,139"
French Polynesia,64,,,,62,2,,228,,"5,849","20,810","281,072"
St. Vincent Grenadines,56,,,,46,10,,505,,"2,447","22,050","110,976"
Saint Martin,53,,3,,41,9,1,"1,368",77,"1,183","30,546","38,729"
Macao,46,,,,46,0,,71,,"4,071","6,261","650,193"
Curaçao,31,,1,,30,0,,189,6,"1,080","6,579","164,161"
Fiji,27,,1,,18,8,,30,1,"6,693","7,461","897,095"
Saint Lucia,25,,,,24,1,,136,,"3,895","21,202","183,712"
Timor-Leste,25,,,,24,1,,19,,"4,238","3,209","1,320,812"
Grenada,24,,,,23,1,,213,,"6,252","55,536","112,576"
New Caledonia,22,,,,22,0,,77,,"11,099","38,839","285,769"
Laos,20,,,,19,1,,3,,"29,904","4,104","7,285,750"
Dominica,18,,,,18,0,,250,,"1,005","13,958","72,004"
Saint Kitts and Nevis,17,,,,16,1,,319,,"1,146","21,526","53,237"
Greenland,14,,,,14,0,,247,,"6,026","106,129","56,780"
Montserrat,13,,1,,10,2,,"2,604",200,61,"12,220","4,992"
Caribbean Netherlands,13,,,,7,6,,495,,424,"16,154","26,247"
Falkland Islands,13,,,,13,0,,"3,726",,"1,816","520,493","3,489"
Vatican City,12,,,,12,0,,"14,981",,,,801
Western Sahara,10,,1,,8,1,,17,2,,,"598,682"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,9,,1,,7,1,,298,33,"1,522","50,312","30,251"
St. Barth,9,,,,6,3,,911,,"1,246","126,113","9,880"
Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,791"
Anguilla,3,,,,3,0,,200,,537,"35,762","15,016"
