"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
Cambodia,243,+3,,,202,41,1,15,,"67,807","4,051","16,740,111"
Faeroe Islands,241,+14,,,192,49,1,"4,930",,"41,459","848,162","48,881"
Cayman Islands,203,,1,,202,0,,"3,085",15,"30,657","465,961","65,793"
Trinidad and Tobago,194,,8,,135,51,,139,6,"9,090","6,493","1,399,925"
Gibraltar,189,,,,183,6,,"5,610",,"22,311","662,244","33,690"
Bermuda,157,,9,,144,4,,"2,522",145,"24,963","400,980","62,255"
Sint Maarten,150,,16,,64,70,,"3,495",373,"1,026","23,904","42,921"
Brunei,141,,3,,138,0,,322,7,"41,148","93,973","437,871"
Barbados,132,,7,,98,27,,459,24,"11,840","41,196","287,409"
Aruba,132,,3,,112,17,,"1,236",28,"13,173","123,331","106,810"
Monaco,123,,4,,105,14,1,"3,132",102,"38,209","973,031","39,268"
Turks and Caicos,116,,2,,38,76,3,"2,992",52,"1,222","31,523","38,765"
Papua New Guinea,114,,2,,34,78,,13,0.2,"10,471","1,168","8,962,081"
Seychelles,114,,,,113,1,,"1,158",,,,"98,405"
Bhutan,105,+2,,,93,12,,136,,"54,275","70,268","772,396"
Antigua and Barbuda,92,,3,,75,14,1,939,31,"1,500","15,305","98,005"
Liechtenstein,89,,1,,85,3,,"2,334",26,900,"23,598","38,139"
Belize,72,+15,2,,31,39,2,181,5,"3,628","9,109","398,272"
French Polynesia,64,,,,62,2,,228,,"5,849","20,810","281,063"
St. Vincent Grenadines,55,,,,45,10,,496,,"2,191","19,743","110,974"
Saint Martin,53,,3,,41,9,1,"1,369",77,"1,183","30,549","38,725"
Macao,46,,,,46,0,,71,,"4,071","6,262","650,145"
Curaçao,29,,1,,24,4,,177,6,"1,080","6,579","164,157"
Fiji,27,,1,,18,8,,30,1,"6,693","7,461","897,059"
Saint Lucia,25,,,,22,3,,136,,"3,548","19,313","183,707"
Timor-Leste,25,,,,24,1,,19,,"4,238","3,209","1,320,675"
Grenada,24,,,,23,1,,213,,"6,252","55,537","112,573"
New Caledonia,22,,,,22,0,,77,,"10,186","35,646","285,754"
Laos,20,,,,19,1,,3,,"28,994","3,980","7,285,173"
Dominica,18,,,,18,0,,250,,"1,005","13,958","72,003"
Saint Kitts and Nevis,17,,,,16,1,,319,,"1,043","19,592","53,235"
Greenland,14,,,,13,1,,247,,"5,930","104,438","56,780"
Montserrat,13,,1,,10,2,,"2,604",200,61,"12,220","4,992"
Caribbean Netherlands,13,,,,7,6,,495,,424,"16,155","26,246"
Falkland Islands,13,,,,13,0,,"3,727",,"1,816","520,642","3,488"
Vatican City,12,,,,12,0,,"14,981",,,,801
Western Sahara,10,,1,,8,1,,17,2,,,"598,602"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,9,+1,1,,7,1,,298,33,"1,522","50,314","30,250"
St. Barth,9,,,,6,3,,911,,"1,246","126,113","9,880"
Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,791"
Anguilla,3,,,,3,0,,200,,537,"35,762","15,016"
