"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
Ghana,"31,851",,161,,"28,438","3,252",8,"1,024",5,"369,180","11,866","31,112,174"
Azerbaijan,"29,633",,408,,"22,082","7,143",66,"2,921",40,"667,819","65,826","10,145,250"
Japan,"28,786",,993,,"21,567","6,226",64,228,8,"704,400","5,571","126,448,497"
Algeria,"26,764",,"1,146",,"18,076","7,542",66,610,26,,,"43,900,083"
Ireland,"25,869",,"1,764",,"23,364",741,5,"5,235",357,"600,342","121,492","4,941,393"
Serbia,"23,263",,526,,"14,047","8,690",170,"2,663",60,"611,333","69,988","8,734,813"
Moldova,"22,828",,733,+1,"15,909","6,186",362,"5,660",182,"128,076","31,755","4,033,289"
Austria,"20,472",+134,712,,"18,209","1,551",15,"2,272",79,"847,898","94,107","9,009,896"
Uzbekistan,"20,226",+274,114,+3,"10,831","9,281",138,604,3,"1,377,915","41,132","33,500,117"
Morocco,"19,645",,305,,"16,282","3,058",31,532,8,"1,126,213","30,488","36,939,019"
Nepal,"18,613",+130,45,,"13,128","5,440",,638,2,"647,484","22,197","29,169,282"
Cameroon,"16,708",,385,,"14,539","1,784",30,628,14,"145,000","5,454","26,584,456"
Kenya,"16,643",,278,,"7,574","8,791",44,309,5,"261,027","4,848","53,842,237"
,,,,,,,,,,,,
Ivory Coast,"15,494",,94,,"9,880","5,520",,587,4,"93,659","3,545","26,416,469"
Czechia,"15,212",,369,,"9,590","5,253",22,"1,420",34,"656,888","61,332","10,710,370"
Venezuela,"14,929",,138,,"8,795","5,996",20,525,5,"1,491,737","52,470","28,430,130"
El Salvador,"14,630",+409,400,+10,"7,648","6,582",486,"2,255",62,"226,718","34,942","6,488,443"
Costa Rica,"14,600",,98,,"3,640","10,862",51,"2,864",19,"74,375","14,591","5,097,206"
Australia,"14,403",+453,155,+10,"9,019","5,229",46,564,6,"3,932,866","154,114","25,519,167"
S. Korea,"14,150",+58,298,,"12,890",962,15,276,6,"1,522,926","29,703","51,272,290"
Denmark,"13,438",,613,,"12,340",485,3,"2,319",106,"1,411,757","243,675","5,793,612"
Ethiopia,"13,248",,209,,"5,966","7,073",66,115,2,"372,812","3,238","115,130,088"
Sudan,"11,385",,717,,"5,890","4,778",,259,16,401,9,"43,909,879"
Palestine,"10,469",+163,75,,"3,752","6,642",,"2,049",15,"155,355","30,411","5,108,442"
Bulgaria,"10,312",,338,,"5,306","4,668",33,"1,485",49,"235,792","33,953","6,944,559"
North Macedonia,"9,934",,460,,"5,357","4,117",55,"4,768",221,"94,092","45,163","2,083,368"
Bosnia and Herzegovina,"9,767",,280,,"4,555","4,932",,"2,978",85,"128,933","39,317","3,279,315"
Senegal,"9,681",+129,191,+4,"6,409","3,081",49,577,11,"101,678","6,063","16,769,360"
Madagascar,"9,295",+429,85,+7,"5,579","3,631",89,335,3,"37,921","1,367","27,732,292"
Norway,"9,111",,255,,"8,674",182,1,"1,680",47,"420,528","77,530","5,424,083"
Malaysia,"8,897",+13,124,+1,"8,600",173,2,275,4,"937,645","28,946","32,392,776"
DRC,"8,831",+30,204,,"5,510","3,117",,98,2,,,"89,712,507"
Finland,"7,393",+5,329,,"6,920",144,,"1,334",59,"339,225","61,217","5,541,323"
French Guiana,"7,332",,41,,"5,767","1,524",25,"24,511",137,"36,205","121,034","299,130"
Haiti,"7,297",+37,157,+1,"4,365","2,775",,639,14,"16,649","1,459","11,411,547"
Tajikistan,"7,150",,59,,"5,906","1,185",,749,6,,,"9,550,428"
Gabon,"6,984",,49,,"4,463","2,472",11,"3,133",22,"67,767","30,405","2,228,837"
Guinea,"6,927",,42,,"6,098",787,24,527,3,"14,407","1,095","13,153,183"
Luxembourg,"6,189",,112,,"4,647","1,430",3,"9,877",179,"394,582","629,701","626,618"
Mauritania,"6,151",,156,,"4,299","1,696",3,"1,321",34,"57,253","12,295","4,656,707"
Djibouti,"5,039",,58,,"4,949",32,,"5,095",59,"55,726","56,351","988,915"
Croatia,"4,857",+65,136,+3,"3,866",855,9,"1,184",33,"110,514","26,932","4,103,402"
Albania,"4,637",,134,,"2,637","1,866",17,"1,611",47,"33,669","11,700","2,877,573"
CAR,"4,598",,59,,"1,506","3,033",2,951,12,"29,202","6,040","4,834,996"
Hungary,"4,435",+11,596,,"3,329",510,6,459,62,"319,854","33,116","9,658,585"
Zambia,"4,328",,139,,"1,953","2,236",18,235,8,"76,072","4,131","18,413,183"
Paraguay,"4,328",,40,,"2,679","1,609",12,606,6,"115,906","16,237","7,138,218"
Greece,"4,166",,201,,"1,374","2,591",10,400,19,"440,156","42,244","10,419,334"
Lebanon,"3,582",,47,,"1,671","1,864",31,525,7,"254,024","37,229","6,823,217"
Malawi,"3,557",,94,,"1,585","1,878",4,186,5,"26,602","1,389","19,158,578"
Nicaragua,"3,439",,108,,"2,492",839,,519,16,,,"6,629,679"
Thailand,"3,291",+9,58,,"3,109",124,1,47,0.8,"685,316","9,817","69,812,168"
Maldives,"3,252",,15,,"2,498",739,12,"6,010",28,"70,845","130,919","541,136"
Somalia,"3,178",,93,,"1,521","1,564",2,200,6,,,"15,918,419"
Equatorial Guinea,"3,071",,51,,842,"2,178",,"2,185",36,"16,000","11,384","1,405,482"
Congo,"3,038",,51,,756,"2,231",,550,9,,,"5,526,039"
Mayotte,"2,862",,38,,"2,650",174,3,"10,476",139,"13,000","47,584","273,202"
Sri Lanka,"2,772",+2,11,,"2,106",655,1,129,0.5,"143,673","6,708","21,419,425"
Montenegro,"2,747",,43,,664,"2,040",7,"4,374",68,"32,527","51,789","628,072"
Hong Kong,"2,634",+128,18,,"1,495","1,121",40,351,2,"524,969","69,986","7,501,050"
Libya,"2,547",,58,,510,"1,979",,370,8,"47,038","6,840","6,877,289"
Mali,"2,503",,123,,"1,907",473,,123,6,"21,143","1,042","20,283,699"
Cuba,"2,478",,87,,"2,345",46,1,219,8,"244,020","21,545","11,326,125"
Zimbabwe,"2,434",,34,,518,"1,882",,164,2,"118,276","7,950","14,876,706"
South Sudan,"2,258",,45,,"1,175","1,038",,202,4,"12,044","1,075","11,202,270"
Cabo Verde,"2,258",,22,,"1,363",873,,"4,058",40,"41,634","74,830","556,383"
Slovakia,"2,179",+38,28,,"1,577",574,2,399,5,"253,475","46,425","5,459,829"
Eswatini,"2,142",,28,,940,"1,174",5,"1,845",24,"20,784","17,903","1,160,954"
Slovenia,"2,082",+16,116,,"1,678",288,2,"1,001",56,"127,040","61,108","2,078,958"
Estonia,"2,034",+1,69,,"1,922",43,1,"1,533",52,"116,913","88,130","1,326,598"
Lithuania,"2,008",+7,80,,"1,616",312,6,738,29,"502,690","184,856","2,719,357"
Guinea-Bissau,"1,954",,26,,803,"1,125",5,992,13,"1,500",761,"1,970,748"
Iceland,"1,847",+4,10,,"1,823",14,,"5,410",29,"120,734","353,651","341,393"
Benin,"1,770",+76,35,+1,"1,036",699,1,146,3,"80,527","6,632","12,141,530"
Sierra Leone,"1,768",,66,,"1,297",405,,221,8,,,"7,986,840"
Rwanda,"1,752",,5,,907,840,,135,0.4,"238,007","18,349","12,970,988"
Namibia,"1,687",,7,,72,"1,608",13,663,3,"20,887","8,211","2,543,754"
Yemen,"1,674",,474,,780,420,,56,16,120,4,"29,865,309"
Mozambique,"1,616",,11,,543,"1,062",,52,0.4,"51,444","1,643","31,305,140"
New Zealand,"1,556",,22,,"1,513",21,,311,4,"455,677","91,097","5,002,100"
Tunisia,"1,443",,50,,"1,133",260,3,122,4,"89,318","7,552","11,826,749"
Suriname,"1,381",,23,,853,505,7,"2,353",39,"1,244","2,119","586,981"
Latvia,"1,219",+13,31,,"1,045",143,2,647,16,"191,070","101,384","1,884,615"
Uruguay,"1,174",,34,,947,193,3,338,10,"101,060","29,086","3,474,562"
Liberia,"1,155",,71,,631,453,,228,14,,,"5,064,710"
Jordan,"1,154",,11,,"1,036",107,3,113,1,"558,451","54,697","10,209,819"
Georgia,"1,131",+14,16,,920,195,5,284,4,"201,519","50,524","3,988,618"
Niger,"1,124",,69,,"1,025",30,,46,3,"9,052",373,"24,252,528"
Uganda,"1,103",,1,,982,120,,24,0.02,"256,040","5,588","45,820,261"
Burkina Faso,"1,086",,53,,920,113,,52,3,,,"20,935,989"
Cyprus,"1,053",,19,,852,182,,872,16,"193,712","160,364","1,207,950"
Angola,916,,39,,242,635,15,28,1,"10,000",304,"32,922,623"
Chad,915,,75,,810,30,,56,5,,,"16,452,449"
Andorra,897,,52,,803,42,,"11,608",673,"3,750","48,529","77,274"
Sao Tome and Principe,862,,14,,662,186,,"3,929",64,"2,756","12,561","219,410"
Togo,853,,17,,587,249,2,103,2,"40,389","4,872","8,290,203"
Jamaica,837,+6,10,,711,116,,283,3,"35,417","11,957","2,962,055"
,,,,,,,,,,,,
Diamond Princess,712,,13,,651,48,4,,,,,
Malta,700,+14,9,,665,26,,"1,585",20,"120,145","272,052","441,625"
San Marino,699,,42,,657,0,,"20,598","1,238","5,729","168,818","33,936"
Botswana,686,,1,,52,633,1,291,0.4,"62,296","26,458","2,354,516"
Réunion,657,,3,,558,96,4,733,3,"35,419","39,542","895,742"
Syria,627,,36,,191,400,,36,2,,,"17,525,621"
Channel Islands,584,,47,,533,4,,"3,357",270,"30,721","176,589","173,969"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,830,376"
Taiwan,458,,7,,440,11,,19,0.3,"80,499","3,380","23,819,790"
Vietnam,420,+3,,,365,55,,4,,"275,000","2,824","97,396,784"
Lesotho,419,,9,,69,341,,195,4,"7,432","3,467","2,143,387"
Burundi,361,,1,,279,81,,30,0.08,"13,105","1,100","11,910,554"
Guyana,360,,20,,180,160,4,458,25,"4,188","5,323","786,812"
Comoros,354,,7,,328,19,,407,8,,,"870,717"
Myanmar,349,+1,6,,288,55,,6,0.1,"107,928","1,983","54,434,449"
Mauritius,344,,10,,332,2,,270,8,"205,285","161,398","1,271,916"
Isle of Man,336,,24,,312,0,,"3,950",282,"7,829","92,037","85,064"
Bahamas,326,,11,,91,224,1,828,28,"3,935","10,000","393,493"
Mongolia,288,,,,218,70,9,88,,"33,128","10,095","3,281,612"
Gambia,277,,6,,60,211,,114,2,"4,515","1,865","2,420,519"
Martinique,269,,15,,98,156,4,717,40,"12,227","32,584","375,244"
Eritrea,263,,,,189,74,,74,,,,"3,549,565"
Cambodia,225,,,,143,82,1,13,,"58,499","3,496","16,733,787"
Faeroe Islands,214,+22,,,188,26,2,"4,378",,"33,149","678,227","48,876"
Guadeloupe,203,,14,,176,13,3,507,35,"15,235","38,075","400,129"
Cayman Islands,203,,1,,202,0,,"3,086",15,"28,904","439,458","65,772"
Gibraltar,185,,,,180,5,,"5,491",,"19,594","581,597","33,690"
Bermuda,153,,9,,139,5,1,"2,457",145,"18,320","294,245","62,261"
Trinidad and Tobago,147,,8,,128,11,,105,6,"6,500","4,644","1,399,802"
Brunei,141,,3,,138,0,,322,7,"37,058","84,654","437,756"
Aruba,119,,3,,102,14,,"1,114",28,"9,415","88,158","106,797"
Monaco,116,,4,,104,8,,"2,955",102,"38,209","973,205","39,261"
Seychelles,114,,,,39,75,,"1,159",,,,"98,388"
Barbados,108,,7,,94,7,,376,24,"10,140","35,282","287,400"
Turks and Caicos,97,+5,2,,35,60,1,"2,503",52,"1,103","28,464","38,751"
Sint Maarten,93,,15,,63,15,,"2,167",350,612,"14,263","42,908"
Bhutan,93,+1,,,85,8,,120,,"41,428","53,652","772,164"
Liechtenstein,86,,1,,81,4,,"2,255",26,900,"23,600","38,136"
Antigua and Barbuda,82,,3,,60,19,1,837,31,"1,189","12,135","97,983"
French Polynesia,62,,,,60,2,,221,,"4,649","16,543","281,018"
St. Vincent Grenadines,52,,,,39,13,,469,,"1,834","16,528","110,964"
Saint Martin,49,,3,,41,5,1,"1,266",78,"1,080","27,902","38,707"
Belize,48,,2,,26,20,,121,5,"3,166","7,953","398,075"
Macao,46,,,,46,0,,71,,"4,071","6,264","649,903"
Papua New Guinea,39,,,,11,28,,4,,"9,923","1,108","8,957,444"
Curaçao,29,,1,,24,4,,177,6,"1,080","6,580","164,139"
Fiji,27,,,,18,9,,30,,"4,000","4,460","896,882"
Saint Lucia,24,,,,22,2,,131,,"2,934","15,973","183,685"
Timor-Leste,24,,,,24,0,,18,,"1,568","1,188","1,319,988"
Grenada,23,,,,23,0,,204,,"5,465","48,552","112,559"
New Caledonia,22,,,,22,0,,77,,"10,119","35,421","285,680"
Laos,20,,,,19,1,,3,,"25,501","3,502","7,282,288"
Dominica,18,,,,18,0,,250,,"1,005","13,959","71,998"
Saint Kitts and Nevis,17,,,,15,2,,319,,948,"17,812","53,224"
Falkland Islands,13,,,,13,0,,"3,729",,"1,816","520,941","3,486"
Greenland,13,,,,13,0,,229,,"5,666","99,794","56,777"
Montserrat,12,,1,,10,1,,"2,404",200,61,"12,220","4,992"
Vatican City,12,,,,12,0,,"14,981",,,,801
Caribbean Netherlands,11,,,,7,4,,419,,424,"16,159","26,239"
Western Sahara,10,,1,,8,1,,17,2,,,"598,199"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,8,,1,,7,0,,265,33,439,"14,515","30,245"
St. Barth,7,,,,6,1,,709,,"1,246","126,126","9,879"
Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,792"
Anguilla,3,,,,3,0,,200,,380,"25,313","15,012"
